recipe_id;ingredients_id
1;1
1;2
1;3
1;4
1;5
3;1
3;3
3;4
3;5
3;15
3;18
3;19
3;22
2;30
2;23
2;24
2;25
2;26
2;27
2;5
2;29
4;1
4;3
4;4
4;5
4;32
4;31
4;15
5;5
5;17
5;33
5;34
5;35
5;36
5;37
5;38
5;39
5;40
5;41
5;42
6;1
6;3
6;5
6;11
6;31
6;35
6;43
6;44
6;45
7;4
7;46
7;47
8;3
8;5
8;33
8;47
8;48
8;49
8;50
8;42
8;51
8;11
8;52
9;5
9;17
9;27
9;31
9;33
9;34
9;53
9;54
9;55
9;56
9;42
10;8
10;58
10;59
10;60
10;61
10;62
10;63
10;64
10;57
